model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_3_AutoML_2_20250822_141659,0.875467357,0.406784241,0.857773196,0.184881603,0.354465403,0.125645722
StackedEnsemble_AllModels_1_AutoML_2_20250822_141659,0.875046603,0.403937922,0.855489051,0.181670022,0.353077301,0.12466358
GBM_4_AutoML_2_20250822_141659,0.874926767,0.407955934,0.859301509,0.18603202,0.354907213,0.12595913
StackedEnsemble_BestOfFamily_2_AutoML_2_20250822_141659,0.873060003,0.407955775,0.850537566,0.18401879,0.355095835,0.126093052
XGBoost_2_AutoML_2_20250822_141659,0.870391674,0.416681092,0.843155282,0.179776627,0.359707857,0.129389742
GBM_5_AutoML_2_20250822_141659,0.869994887,0.446323569,0.842685327,0.186463426,0.371475809,0.137994276
StackedEnsemble_BestOfFamily_1_AutoML_2_20250822_141659,0.869385059,0.416763826,0.845842338,0.18579235,0.359039638,0.128909462
XGBoost_1_AutoML_2_20250822_141659,0.869153378,0.418902064,0.840676025,0.188189052,0.359669594,0.129362217
XGBoost_3_AutoML_2_20250822_141659,0.868607463,0.427230196,0.839299848,0.190130381,0.364042276,0.132526779
GBM_2_AutoML_2_20250822_141659,0.868034917,0.411853697,0.852581109,0.182149362,0.356720623,0.127249603
GLM_1_AutoML_2_20250822_141659,0.865387893,0.422919935,0.845843612,0.186535327,0.362785125,0.131613047
DRF_1_AutoML_2_20250822_141659,0.86412563,0.50148746,0.837387955,0.192670885,0.362891926,0.13169055
GBM_1_AutoML_2_20250822_141659,0.861183012,0.427877265,0.839783543,0.198446937,0.365313464,0.133453927
XRT_1_AutoML_2_20250822_141659,0.858743702,0.576123446,0.824382466,0.190729556,0.367023541,0.134706279
DeepLearning_1_AutoML_2_20250822_141659,0.754340694,0.645547828,0.682885779,0.267352123,0.443189326,0.196416779
